"city_id","city_name","year","pop","density_pop","unemp_rate","gdp_prousd","peoplekilled_in_roadaccident","deaths_roadaccidents","nationals","nationals_.","eu_foreigners","eu_foreigners_.","extraeu_foreigners","extraeu_foreigners_.","nativeborn","nativeborn_.","cars","cars_perc","Capital","cold_weather","URSS_Influence","Closeness","Cultural_affinity","X"
1,"Tallinn",2000,400378,2518,NA,24973,NA,NA,284684,"71",569,0.14,111334,27.81,NA,NA,119632,29.88,1,1,1,1,1,NA
1,"Tallinn",2001,399685,2514,13,26849,0.65,26,287560.333333333,"",976.75,0.24125,102280.625,25.545,NA,NA,109903,27.5525,1,1,1,1,1,NA
1,"Tallinn",2002,398434,2506,12,28989,0.603333333333333,24,290436.666666667,"",1384.5,0.3425,93227.25,23.28,NA,NA,100174,25.225,1,1,1,1,1,NA
1,"Tallinn",2003,397150,2498,11,31412,0.556666666666667,22,293313,"",1792.25,0.44375,84173.875,21.015,NA,NA,90445,22.8975,1,1,1,1,1,NA
1,"Tallinn",2004,392306,2467,10,33897,0.51,20,296189.333333333,"",2200,0.545,75120.5,18.75,NA,NA,80716,20.57,1,1,1,1,1,NA
1,"Tallinn",2005,401646,2526,8,36485,0.42,17,299065.666666667,"",2607.75,0.64625,66067.125,16.485,NA,NA,80716,20.1,1,1,1,1,1,NA
1,"Tallinn",2006,398635,2507,4,40641,0.55,22,301942,"76",3015.5,0.7475,57013.75,14.22,NA,NA,81681,20.49,1,1,1,1,1,NA
1,"Tallinn",2007,399141,2510,3,42711,0.63,25,303406,"76",3423.25,0.84875,47960.375,11.955,NA,NA,83449,20.91,1,1,1,1,1,NA
1,"Tallinn",2008,401389,2524,4,39859,0.42,17,306777,"76",3831,0.95,38907,9.69,NA,NA,69742,17.38,1,1,1,1,1,NA
1,"Tallinn",2009,403930,2540,14,35067,0.27,11,309410,"77",4649.5,0,63705.5,0,NA,NA,69438,17.19,1,1,1,1,1,NA
1,"Tallinn",2010,406665,2558,12,35013,0.15,6,312373,"77",5468,1.34,88504,21.76,313559,77.1,68965,16.96,1,1,1,1,1,NA
1,"Tallinn",2011,393222,2473,10,38219,0.31,12,315316.5,"",4561,0,85120.5,0,312695,79.52,80722,20.53,1,1,1,1,1,NA
1,"Tallinn",2012,403862,2540,8,40015,0.32,13,318260,"79",3654,0.9,81737,20.24,322843,79.94,91692,22.7,1,1,1,1,1,NA
1,"Tallinn",2013,406059,2554,6,40750,0.3,12,320334,"79",3630,0.89,81760,20.14,325848,80.25,100413,24.73,1,1,1,1,1,NA
1,"Tallinn",2014,411063,2585,6,42326,0.17,7,325511,"79",3625,0.88,81669,19.87,331044,80.53,107924,26.25,1,1,1,1,1,NA
1,"Tallinn",2015,413782,2602,5,43547,0.29,8,328864,"79",3712,0.9,81206,19.63,331697,80.16,107784,26.05,1,1,1,1,1,NA
1,"Tallinn",2016,423420,2663,6,44478,0.19,8,332430,"79",8404,1.98,82574,19.5,337580,79.73,115438,27.0,1,1,1,1,1,NA
1,"Tallinn",2017,426538,2683,5,46617,0.09,4,335268,"79",9179,2.15,82047,19.24,340193,79.76,123092,28.86,1,1,1,1,1,NA
1,"Tallinn",2018,430805,2709,5,47584,0.16,7,338258,"79",10264,2.38,82187,19.08,341884,79.36,135733,31.51,1,1,1,1,1,NA
1,"Tallinn",2019,434562,2733,4,49329,0.18,8,340018,"78",11422,2.63,83005,19.1,343626,79.07,136273,31.36,1,1,1,1,1,NA
1,"Tallinn",2020,438341,2757,6,47606,0.21,9,341270,"78",11426,2.61,85645,19.54,345056,78.72,140985,32.16,1,1,1,1,1,NA
2,"Riga",2000,762505,2353,8.5,17264,1.2,263,452698,"59",703,0.09,606352,79.52,557015,73.05,321773.5,49.29,1,1,1,1,1,NA
2,"Riga",2001,756627,2335,11,18668,2.19,517,459965.857142857,"",1038,0.14,64012,8.46,553697.454545455,73.5936363636364,502562,66.42,1,1,1,1,1,NA
2,"Riga",2002,747157,2306,10.6666666666667,20223,2.2,516.666666666667,467233.714285714,"",1070,0.14,57478,7.69,550379.909090909,74.1372727272727,526279,70.44,1,1,1,1,1,NA
2,"Riga",2003,739232,2282,10.3333333333333,22126,2.21,516.333333333333,474501.571428571,"",2732,0.37,43207.5,5.815,547062.363636364,74.6809090909091,552209,74.7,1,1,1,1,1,NA
2,"Riga",2004,735241,2269,10,24091,2.22,516,481769.428571429,"",4394,0.6,28937,3.94,543744.818181818,75.2245454545454,573395,77.99,1,1,1,1,1,NA
2,"Riga",2005,731762,2259,8,27121,1.92,442,489037.285714286,"",5278.75,0.735,123592.75,17.5675,540427.272727273,75.7681818181818,603624,82.49,1,1,1,1,1,NA
2,"Riga",2006,727578,2246,6,31511,1.77,407,496305.142857143,"",6163.5,0.87,218248.5,31.195,537109.727272727,76.3118181818182,660047,90.72,1,1,1,1,1,NA
2,"Riga",2007,722485,2230,6,33863,1.84,419,503573,"70",7048.25,1.005,312904.25,44.8225,533792.181818182,76.8554545454545,723720,100.17,1,1,1,1,1,NA
2,"Riga",2008,697272,2152,8,32789,1.39,316,506684,"73",7933,1.14,407560,58.45,530474.636363636,77.3990909090909,789650,113.25,1,1,1,1,1,NA
2,"Riga",2009,713016,2201,17,27855,1.12,254,508029,"71",7250.33333333333,0,383797.666666667,55.9866666666667,527157.090909091,77.9427272727273,814436,114.22,1,1,1,1,1,NA
2,"Riga",2010,673433,2078,17,27257,0.99,218,497634,"",6567.66666666667,0,360035.333333333,53.5233333333333,523839.545454545,78.4863636363636,799995,118.79,1,1,1,1,1,NA
2,"Riga",2011,658637,2033,17,27721,0.86,179,487239,"74",5885,0.89,336273,51.06,520522,79.03,557311,84.62,1,1,1,1,1,NA
